Date,Wake,Sleep
2020-05-31,8:50 AM,1:10 AM
2020-06-01,7:00 AM,12:23 AM
2020-06-02,7:30 AM,1:39 AM
2020-06-03,7:45 AM,12:32 AM
2020-06-04,7:31 AM,12:00 AM
2020-06-05,7:40 AM,12:30 AM
2020-06-06,8:45 AM,11:32 PM
2020-06-07,7:35 AM,12:40 AM
2020-06-08,8:00 AM,11:58 PM
2020-06-09,7:40 AM,10:59 PM
2020-06-10,6:50 AM,10:42 PM
2020-06-11,6:55 AM,11:43 PM
2020-06-12,7:26 AM,10:22 PM
2020-06-13,7:30 AM,1:00 AM
2020-06-14,7:35 AM,11:36 PM
2020-06-15,6:40 AM,12:08 AM
2020-06-16,7:45 AM,11:29 PM
2020-06-17,6:30 AM,11:56 PM
2020-06-18,7:25 AM,11:59 PM
2020-06-19,6:35 AM,11:25 PM
2020-06-20,8:00 AM,10:59 PM
2020-06-21,8:00 AM,11:50 PM
2020-06-22,6:30 AM,11:28 PM
2020-06-23,6:50 AM,10:25 PM
2020-06-24,7:05 AM,10:40 PM
2020-06-25,5:45 AM,12:40 AM
2020-06-26,6:30 AM,11:40 PM
2020-06-27,6:00 AM,22:45
2020-06-28,6:00 AM,11:20 PM
2020-06-29,7:30 AM,11:00 PM
2020-06-30,7:21 AM,11:45 PM
2020-07-01,6:30 AM,1:44 AM
2020-07-02,7:45 AM,11:22 PM
2020-07-03,5:15 AM,22:30
2020-07-04,8:00 AM,21:30
2020-07-05,7:30 AM,10:13 PM
2020-07-06,7:35 AM,11:05 PM
2020-07-07,7:30 AM,11:32 PM
2020-07-08,6:30 AM,10:27 PM
2020-07-09,7:30 AM,12:06 AM
2020-07-10,6:20 AM,11:53 PM
2020-07-11,6:30 AM,12:42 AM
2020-07-12,9:30 AM,11:39 PM
2020-07-13,6:35 AM,11:58 PM
2020-07-14,7:45 AM,12:50 AM
2020-07-15,6:27 AM,12:32 AM
2020-07-16,8:00 AM,1:25 AM
2020-07-17,6:30 AM,12:16 AM
2020-07-18,5:52 AM,1:00 AM
2020-07-19,8:55 AM,11:04 PM
2020-07-20,6:30 AM,1:59 AM
2020-07-21,8:55 AM,12:55 AM
2020-07-22,8:30 AM,11:51 PM
2020-07-23,8:00 AM,12:26 AM
2020-07-24,6:40 AM,12:20 AM
2020-07-25,9:26 AM,1:29 AM
2020-07-26,9:30 AM,12:30 AM
2020-07-27,8:50 AM,11:29 PM
2020-07-28,7:45 AM,11:15 PM
2020-07-29,7:35 AM,11:40 PM
2020-07-30,7:25 AM,11:45 PM
2020-07-31,7:05 AM,12:45 AM
2020-08-01,8:15 AM,12:15 AM
2020-08-02,8:48 AM,11:15 PM
2020-08-03,7:10 AM,12:40 AM
2020-08-04,7:55 AM,11:45 PM
2020-08-05,7:05 AM,12:10 AM
2020-08-06,7:45 AM,11:12 PM
2020-08-07,7:05 AM,11:20 PM
2020-08-08,7:45 AM,11:45 PM
2020-08-09,7:00 AM,12:15 AM
2020-08-10,7:33 AM,11:10 PM
2020-08-11,6:45 AM,11:10 PM
2020-08-12,7:20 AM,11:11 PM
2020-08-13,7:25 AM,11:59 PM
2020-08-14,7:29 AM,1:14 AM
2020-08-15,8:30 AM,12:30 AM
2020-08-16,8:50 AM,10:48 PM
2020-08-17,6:25 AM,10:00 PM
2020-08-18,6:25 AM,11:59 PM
2020-08-19,7:03 AM,9:36 PM
2020-08-20,7:03 AM,10:10 PM
2020-08-21,6:45 AM,10:15 PM
2020-08-22,7:36 AM,9:10 PM
2020-08-23,6:36 AM,10:45 PM
2020-08-24,7:10 AM,12:07 AM
2020-08-25,6:25 AM,11:45 PM
2020-08-26,6:40 AM,11:35 PM
2020-08-27,6:30 AM,11:55 PM
2020-08-28,7:40 AM,12:28 AM
2020-08-29,7:50 AM,12:46 AM
2020-08-30,8:20 AM,10:30 PM
2020-08-31,7:45 AM,11:00 PM
2020-09-01,7:00 AM,11:40 PM
2020-09-02,7:28 AM,0:32
2020-09-03,7:35 AM,10:59 PM
2020-09-04,6:30 AM,12:35 AM
2020-09-05,7:40 AM,1:42 AM
2020-09-06,7:50 AM,11:27 PM
2020-09-07,7:40 AM,11:45 PM
2020-09-08,7:35 AM,11:51 PM
2020-09-09,6:40 AM,10:37 PM
2020-09-10,7:18 AM,12:25 AM
2020-09-11,7:45 AM,11:45 PM
2020-09-12,7:32 AM,12:20 AM
2020-09-13,8:09 AM,12:15 AM
2020-09-14,7:45 AM,11:15 PM
2020-09-15,7:10 AM,10:40 PM
2020-09-16,6:58 AM,11:59 PM
2020-09-17,7:40 AM,22:55
2020-09-18,6:30 AM,1:26 AM
2020-09-19,5:35 AM,3:00 AM
2020-09-20,10:00 AM,11:50 PM
2020-09-21,5:27 AM,10:45 PM
2020-09-22,7:40 AM,11:05 PM
2020-09-23,5:35 AM,12:00 AM
2020-09-24,7:45 AM,10:59 PM
2020-09-25,5:35 AM,1:30 AM
2020-09-26,5:45 AM,2:00 AM
2020-09-27,10:30 AM,11:35 PM
2020-09-28,5:40 AM,11:39 PM
2020-09-29,7:06 AM,10:45 PM
2020-09-30,5:25 AM,11:45 PM
2020-10-01,7:40 AM,10:50 PM
2020-10-02,5:25 AM,1:10 AM
2020-10-03,6:43 AM,4:00 AM
2020-10-04,10:25 AM,12:59 AM
2020-10-05,9:40 AM,11:30 PM
2020-10-06,9:07 AM,12:20 AM
2020-10-07,8:47 AM,11:20 PM
2020-10-08,9:00 AM,11:08 PM
2020-10-09,8:15 AM,11:55 PM
2020-10-10,8:43 AM,11:50 PM
